variable,arguments,operators,expressions,loops,operands,exceptions,exception_clause,mccable_complex,id
18,10,61,61,3,43,0,2,34,48977
13,6,52,52,9,34,0,2,37,55646
20,5,35,35,4,40,0,0,30,60508
5,1,2,2,1,6,0,0,5,54954
1,1,6,6,0,2,0,0,2,56969
14,12,73,73,10,37,0,0,35,62535
49,16,132,132,16,89,0,4,100,76126
13,2,62,62,5,24,5,1,29,73324
58,6,85,85,10,46,1,1,44,42880
18,1,1,1,1,6,0,0,4,52479
23,1,65,65,8,35,0,0,17,66825
9,3,19,19,4,19,0,0,18,62165
19,17,79,79,5,57,0,3,52,55216
47,3,36,36,5,26,0,1,33,40917
27,3,49,49,8,27,0,0,32,68568
3,1,1,1,0,4,0,0,1,44407
19,3,42,42,8,32,0,2,31,72866
11,13,29,29,2,28,0,0,27,68092
2,1,4,4,0,4,0,0,4,58424
18,4,42,42,8,42,2,0,27,73774
18,4,79,79,10,36,0,1,54,50014
10,1,2,2,1,9,0,0,3,53792
4,1,1,1,0,3,0,0,1,52880
7,4,12,12,1,16,0,1,13,61319
25,19,54,54,9,70,0,1,41,42479
87,42,284,284,36,194,24,5,175,69729
35,5,62,62,15,65,6,2,48,70508
11,1,18,18,3,12,0,0,11,59665
21,7,52,52,7,28,4,2,36,72535
12,1,12,12,2,16,0,0,5,58977
55,14,128,128,19,84,2,1,135,63774
23,3,59,59,8,42,0,0,41,48424
5,1,2,2,1,10,0,0,4,54407
12,1,25,25,6,13,1,0,17,42029
69,11,54,54,12,70,1,1,43,38726
15,2,35,35,3,23,1,1,27,70158
30,4,77,77,10,44,1,1,72,39834
26,1,77,77,10,29,5,1,37,72165
5,1,19,19,2,9,1,0,14,68991
80,25,163,163,14,111,0,1,116,51605
7,1,24,24,3,12,5,0,18,50917
21,1,26,26,5,23,1,0,16,72470
19,5,36,36,5,35,0,0,23,59720
11,6,24,24,5,24,0,0,23,44811
3,1,3,3,0,4,0,0,3,38233
7,1,19,19,2,8,0,0,21,62889
4,1,11,11,0,8,0,0,5,54112
17,1,44,44,4,27,0,1,50,48131
46,10,82,82,15,71,0,1,63,38663
2,1,1,1,0,3,0,0,1,45353
24,12,55,55,9,67,0,1,44,42496
27,2,92,92,14,55,1,2,74,72020
12,1,20,20,6,15,0,0,16,56085
11,1,16,16,1,16,0,0,9,66433
11,1,18,18,5,12,0,0,14,63631
18,1,1,1,0,5,0,0,1,54542
3,1,2,2,0,4,0,0,5,46986
6,1,7,7,1,7,1,0,9,38399
21,4,52,52,6,51,0,2,42,58998
10,6,41,41,2,17,0,0,11,58131
17,1,29,29,3,32,0,0,25,39422
8,1,24,24,0,5,0,0,17,44112
12,0,24,24,4,19,0,0,9,67672
1,1,1,1,0,3,0,0,2,66960
21,2,46,46,4,27,1,1,57,41310
23,1,60,60,17,35,7,0,57,76063
15,10,51,51,5,37,0,2,49,43287
20,3,51,51,8,22,2,0,26,72923
23,17,57,57,8,52,0,1,53,39072
36,2,47,47,2,45,4,1,12,73631
8,1,13,13,4,9,1,0,9,50151
20,3,32,32,8,24,0,0,24,62020
18,4,33,33,6,27,0,0,17,40852
6,1,4,4,1,15,1,0,4,54391
7,1,23,23,2,8,0,0,5,51469
13,4,30,30,5,20,0,0,21,40782
9,1,4,4,1,10,1,0,5,47047
27,3,80,80,10,47,0,6,75,59059
29,2,136,136,11,39,1,0,66,72309
43,3,71,71,12,69,1,0,44,70334
17,1,15,15,2,8,0,0,5,45580
27,4,36,36,11,50,10,0,36,69115
55,8,36,36,6,43,1,1,27,61525
4,1,6,6,0,5,0,0,5,63518
12,28,34,34,3,116,0,0,48,56656
9,4,9,9,2,17,0,1,10,51193
9,3,4,4,1,19,0,0,8,53004
17,3,48,48,8,38,0,2,32,51039
81,25,210,210,36,176,3,2,177,72759
14,1,55,55,0,7,0,0,26,59409
16,3,42,42,5,28,1,2,25,70764
41,40,125,125,19,113,13,0,119,71876
43,7,112,112,21,65,2,1,92,40628
44,3,41,41,12,47,5,1,39,69545
9,1,4,4,1,10,0,0,4,43907
12,0,46,46,9,19,0,0,29,75566
5,1,7,7,2,7,0,0,9,56206
21,21,55,55,9,52,0,0,63,48218
31,13,70,70,12,65,0,2,50,52245
11,3,31,31,3,28,5,0,20,65136
10,1,21,21,5,14,0,0,19,46656
13,4,30,30,2,27,0,2,39,45979
23,1,36,36,6,20,0,0,13,47944
22,1,89,89,6,24,0,1,15,73518
14,4,51,51,6,22,0,0,26,74727
16,2,34,34,5,31,4,1,20,68704
19,1,18,18,0,20,0,0,12,44391
15,6,21,21,4,30,1,1,18,41469
14,1,8,8,2,9,0,0,4,49059
14,1,28,28,5,17,0,0,15,51890
20,1,28,28,9,21,0,0,24,60334
33,15,66,66,14,69,0,2,71,53907
2,1,3,3,0,3,0,0,2,52615
30,15,109,109,11,62,2,0,40,71175
6,1,12,12,2,7,0,0,9,38819
17,2,29,29,3,26,2,1,48,46206
10,2,30,30,4,12,1,0,20,43004
37,1,61,61,13,43,2,0,40,61876
41,8,121,121,16,65,0,2,102,57417
9,1,29,29,1,10,0,0,19,60764
15,1,26,26,2,22,1,0,31,69953
59,16,228,228,18,122,0,3,129,74662
28,12,84,84,12,59,0,1,73,43511
14,8,37,37,6,30,7,0,32,68641
41,8,85,85,16,66,0,1,71,65589
21,16,58,58,13,65,0,2,66,57102
12,1,31,31,5,17,0,0,21,61899
38,18,57,57,5,70,0,1,74,47801
19,1,37,37,3,23,2,0,8,74398
14,14,52,52,5,39,0,0,22,44684
4,1,10,10,1,3,0,0,3,68211
18,1,38,38,10,19,0,0,24,45996
11,1,12,12,2,20,1,0,13,61933
7,1,6,6,2,8,0,0,6,65423
4,1,6,6,1,5,0,0,5,53842
15,2,46,46,5,28,1,1,50,52750
19,2,57,57,10,24,2,1,31,71030
12,5,27,27,6,23,0,1,31,75073
48,12,113,113,18,82,0,1,83,64398
3,1,2,2,0,4,0,0,1,65970
22,6,39,39,9,65,6,2,32,75589
43,17,113,113,14,76,0,2,61,55996
8,1,13,13,2,9,0,0,7,70621
13,3,42,42,6,29,0,1,50,47552
51,25,102,102,20,87,1,0,77,71933
43,18,87,87,13,101,0,1,94,45241
5,1,5,5,2,6,1,0,5,42584
18,4,37,37,8,32,7,0,31,72132
23,1,42,42,5,25,2,1,40,39863
23,9,69,69,10,39,1,2,41,51652
13,4,31,31,6,35,7,0,25,50940
31,7,106,106,12,57,2,1,85,66521
26,19,90,90,15,86,0,2,82,48473
2,1,3,3,0,3,0,0,1,62831
7,1,24,24,3,8,0,0,19,53395
6,1,12,12,2,7,1,0,4,46894
6,1,8,8,0,7,0,0,3,40043
8,4,7,7,1,16,0,0,7,47786
10,1,18,18,2,11,0,0,12,59632
8,1,18,18,0,9,1,0,6,45611
17,4,27,27,5,29,2,0,24,69284
24,9,100,100,7,55,0,1,60,63689
15,4,20,20,3,22,0,1,15,63373
20,8,41,41,7,32,0,0,29,72098
15,1,45,45,3,37,0,2,25,72831
8,1,13,13,2,9,0,0,9,44450
10,1,15,15,3,16,4,1,10,73723
8,1,6,6,2,9,1,0,5,58473
7,4,7,7,1,16,0,1,7,49798
8,1,8,8,2,9,0,0,5,56894
10,1,5,5,1,7,0,0,5,62132
1,0,0,0,0,1,0,0,0,58189
1,1,0,0,0,2,0,0,1,46197
261,182,625,625,143,609,5,2,555,41652
20,4,56,56,9,38,2,2,47,73373
51,15,112,112,23,86,0,2,99,67760
2,1,1,1,0,3,0,0,1,66872
0,1,5,5,0,3,0,0,1,55611
1,1,0,0,0,2,0,0,1,48920
22,24,49,49,14,52,0,0,71,49632
17,9,37,37,8,31,0,0,21,62562
11,3,37,37,3,17,0,0,20,41202
4,1,5,5,1,5,0,0,4,57339
12,1,20,20,1,15,0,0,8,42838
24,3,50,50,8,75,0,0,38,74459
46,13,75,75,14,77,0,1,84,40805
14,1,11,11,3,27,0,0,9,70949
8,4,26,26,5,13,0,0,16,44515
37,7,87,87,12,69,2,0,76,68180
84,43,129,129,17,199,0,1,151,58536
15,11,23,23,6,62,3,1,23,65248
3,1,2,2,0,4,0,0,1,57769
2,1,5,5,0,3,0,0,7,55754
38,9,72,72,9,56,2,1,84,54846
14,3,25,25,3,16,0,1,19,62427
16,4,27,27,6,31,0,2,26,49777
4,1,6,6,1,10,0,0,5,41347
153,101,399,399,66,300,0,2,283,46482
38,10,140,140,12,75,0,1,76,42992
18,7,57,57,7,45,1,2,40,73236
11,1,22,22,0,11,0,0,17,44145
3,1,3,3,0,4,0,0,4,65618
17,2,32,32,4,31,1,1,43,67625
32,21,75,75,12,70,0,1,77,66937
16,5,60,60,9,64,0,4,46,63666
3,1,5,5,1,5,1,0,4,54515
60,51,212,212,26,225,0,0,151,56528
21,3,76,76,9,48,9,0,47,75248
5,0,0,0,0,1,0,0,0,40106
9,1,10,10,2,14,0,0,13,47339
36,6,128,128,20,65,0,4,78,69791
9,1,21,21,3,13,0,0,8,59327
14,1,35,35,4,15,0,0,9,68883
13,5,45,45,4,32,0,2,29,66464
51,11,137,137,29,84,0,1,114,50805
57,29,110,110,28,125,0,2,109,53680
5,1,9,9,1,6,0,0,7,52992
49,9,218,218,9,56,4,0,82,75618
30,3,69,69,9,50,0,6,64,44846
3,2,5,5,1,6,0,0,7,59777
12,4,15,15,4,13,0,0,12,72427
25,12,91,91,13,54,0,1,68,42091
17,1,33,33,4,14,0,0,10,44796
13,2,24,24,6,31,4,1,17,68303
89,15,130,130,25,98,0,2,98,45884
8,1,2,2,0,5,0,0,1,57440
26,7,80,80,12,50,1,1,64,50385
8,1,12,12,2,9,0,0,9,61821
9,1,25,25,4,9,0,0,24,65531
2056,3,18,18,3,18,0,1,14,71122
10,6,14,14,2,13,0,0,8,46251
15,1,53,53,6,32,5,1,36,71088
3,2,8,8,1,7,0,0,6,43403
15,1,27,27,5,16,0,0,18,68753
14,1,21,21,7,15,0,0,18,60363
52,32,140,140,19,114,22,5,104,65161
29,3,55,55,3,39,0,0,12,47913
38,9,93,93,12,60,0,2,49,42642
35,3,57,57,10,62,1,0,36,69512
14,4,29,29,3,17,0,0,16,45187
32,1,50,50,6,54,0,1,20,75531
