,id,dist,task
0,38111,15.9,1
1,38115,15.23262839879154,1
2,38116,14.586538461538462,1
3,38117,14.711026615969581,1
4,38120,14.621805792163544,1
5,38121,14.616022099447514,1
6,38124,14.34382871536524,1
7,38127,13.912242686890574,1
8,38128,14.01361161524501,1
9,38129,14.079136690647482,1
10,38130,13.786931818181818,1
11,38132,13.677245104659015,1
12,38135,13.754179566563467,1
13,38141,13.60123042505593,1
14,38142,13.508099352051836,1
15,38145,13.640609636184857,1
16,38149,13.62396694214876,1
17,38150,13.83258288988948,1
18,38151,15.953659316075424,2
19,38152,16.842838370565048,2
20,38153,16.85092381675525,3
21,38154,16.229887691955078,3
22,38156,17.654971932638333,3
23,38159,17.52422080360496,3
24,38161,16.87977867203219,3
25,38162,16.311141510867913,3
26,38163,16.164289788933257,3
27,38165,16.16252545824847,3
28,38167,15.940081290153403,3
29,38168,15.822213845960547,3
30,38169,15.733213429256594,3
31,38171,15.491205885733992,3
32,38173,15.131209503239742,3
33,38174,15.148121237284617,3
34,38176,15.22801302931596,3
35,38177,15.18121387283237,3
36,38179,15.164206642066421,3
37,38180,15.088007822917593,3
38,38182,15.028531663187195,3
39,38183,15.003585723815878,3
40,38184,15.294536253656993,4
41,38186,15.58851854638477,4
42,38189,15.646868250539956,4
43,38190,15.642520775623268,4
44,38194,15.706966262345066,4
45,38195,15.923130766783329,4
46,38196,16.237573144441022,4
47,38198,16.552203349566458,4
48,38199,16.75718349103152,4
49,38201,16.903149871090687,4
50,38202,17.038053818972546,4
51,38204,16.844685351665785,4
52,38205,16.806426892817,4
53,38206,16.801858210462534,4
54,38209,16.796663346613546,4
55,38210,16.567375546061157,4
56,38213,16.69060155631145,4
57,38214,17.19819045464827,4
58,38218,17.24665551839465,4
59,38223,17.237392213221845,4
60,38225,17.217745782557788,5
61,38226,17.19434857635893,5
62,38228,17.17015053763441,5
63,38230,17.14673796791444,5
64,38235,17.130505222767,5
65,38236,17.106671756372737,5
66,38238,17.08383258796726,5
67,38239,17.038518021231067,5
68,38240,17.022182304286073,5
69,38242,17.00062346730953,5
70,38244,16.979280397022332,5
71,38245,16.958149870375706,5
72,38248,16.937051760173762,5
73,38250,16.924498977505113,5
74,38251,16.903634069914133,5
75,38252,16.885937563266793,5
76,38253,16.87141300399564,5
77,38255,16.8510843373494,5
78,38257,16.831181807281883,5
79,38258,16.811470845597007,5
80,38264,16.795684423465946,6
81,38265,16.791841418058084,6
82,38266,16.774217703160716,6
83,38267,16.75867625673073,6
84,38268,16.74241592850984,6
85,38269,16.72896102376029,6
86,38273,16.715506193934218,6
87,38274,16.697853413266294,6
88,38275,16.682834815413635,6
89,38278,16.668240804730093,6
90,38279,16.650975143403443,6
91,38281,16.63634287454324,6
92,38282,16.605385928314053,6
93,38286,16.591383219954647,6
94,38288,16.57112758192558,6
95,38291,16.552751778360165,6
96,38292,16.536716217726614,6
97,38295,16.516540572615337,6
98,38300,16.503126734505088,6
99,38304,16.497657604485596,7
100,38308,16.490066225165563,7
101,38309,16.480603369178258,7
102,38311,16.468834688346885,7
103,38313,16.453685786264558,7
104,38314,16.44124927198602,7
105,38316,16.426550598476606,7
106,38317,16.414580398107006,7
107,38321,16.413022351797864,7
108,38324,16.40450971239812,7
109,38326,16.39949883658493,7
110,38327,16.390048154093098,7
111,38329,16.37911775168979,7
112,38330,16.372496898812688,7
113,38331,16.367645499840982,7
114,38335,16.360308624577225,7
115,38336,16.355521989602362,7
116,38339,16.346288638115933,7
117,38340,16.335663602362892,7
118,38343,16.322960588214794,7
119,38344,16.31882650761175,8
120,38346,16.293188480772546,8
121,38348,16.276028972572174,8
122,38351,16.35946127946128,8
123,38352,16.341613032984714,8
124,38353,16.25022139132146,8
125,38354,16.35910945481415,8
126,38355,16.39399778865898,8
127,38357,16.555717474885277,8
128,38358,16.6013928342344,8
129,38359,16.584223175443398,8
130,38360,16.62041380969566,8
131,38363,16.60132830730569,8
132,38365,16.823187636406537,8
133,38366,16.813879201711455,8
134,38368,16.945955349376632,8
135,38371,17.006604906501973,8
136,38372,17.199088274193095,8
137,38373,17.31317872517706,8
138,38374,17.43338282195095,8
139,38376,17.432779435516988,9
140,38378,17.42400917130691,9
141,38379,17.422040528059977,9
142,38380,17.415661512722956,9
143,38381,17.405682397445872,9
144,38383,17.392692965576224,9
145,38386,17.39068901303538,9
146,38387,17.390903552223783,9
147,38388,17.3825561768119,9
148,38391,17.374800554523816,9
149,38392,17.361064848547933,9
150,38397,17.35985495985496,9
151,38401,17.35865642400495,9
152,38405,17.337700630736887,9
153,38408,17.329792937932442,9
154,38410,17.32543913087623,9
155,38411,17.3205316828167,9
156,38413,17.305860667121177,9
157,38414,17.30573440643863,9
158,38415,17.305077948769362,9
159,38416,17.356194690265486,10
160,38417,17.39128935310637,10
161,38421,17.407187240080237,10
162,38422,17.41229819101342,10
163,38423,17.44195652173913,10
164,38425,17.452544572060166,10
165,38428,17.523845589453504,10
166,38432,17.59031622407807,10
167,38433,17.616404886561956,10
168,38434,17.652320402464635,10
169,38437,17.675681854552938,10
170,38438,17.71098606888415,10
171,38439,17.70445527717946,10
172,38440,17.713106062315276,10
173,38448,17.73001927473217,10
174,38449,17.74512426167391,10
175,38450,17.82112130930001,10
176,38451,17.847247242848983,10
177,38453,17.892673801444356,10
178,38455,17.88260067296212,11
179,38456,17.877639051458793,11
180,38459,17.858273848150553,11
181,38461,17.848615039184782,11
182,38463,17.839041833613372,11
183,38467,17.832992794924184,11
184,38470,17.823151884605476,11
185,38472,17.811753371868978,11
186,38474,17.803866282174518,11
187,38476,17.79328738771417,11
188,38477,17.788464818763327,11
189,38478,17.76959741254575,11
190,38480,17.76489960692659,11
191,38481,17.754419848462337,11
192,38482,17.744285562970024,11
193,38484,17.734560595172677,11
194,38485,17.72519776394895,11
195,38487,17.71765598011543,11
196,38491,17.70824310971892,11
197,38496,17.85153852533798,12
198,38497,17.881001958560972,12
199,38498,17.883004421880116,12
200,38501,17.89909057691527,12
201,38502,17.99905781412878,12
202,38504,17.963431814123297,12
203,38507,18.16260114814162,12
204,38509,18.259138659534056,12
205,38512,18.237976192765522,12
206,38514,18.262044115684517,12
207,38515,18.292806984247484,12
208,38517,18.461170422350225,12
209,38520,18.492925053851295,12
210,38522,18.502085515315216,12
211,38524,18.55552121586736,12
212,38527,18.59716025073613,12
213,38529,18.608480996750508,12
214,38532,18.6110457026651,12
215,38533,18.639398346872895,12
216,38535,18.62795226797918,13
217,38536,18.616414435389988,13
218,38538,18.61035494125292,13
219,38540,18.591245343733057,13
220,38541,18.576088285110618,13
221,38544,18.560788475590662,13
222,38548,18.54877435247992,13
223,38552,18.53456977909911,13
224,38555,18.522582089295245,13
225,38556,18.50660128253489,13
226,38560,18.501424938992134,13
227,38562,18.490869247626005,13
228,38563,18.478372148208415,13
229,38565,18.472217525110757,13
230,38566,18.467009613762862,13
231,38567,18.462172599059773,13
232,38568,18.448418939267192,13
233,38571,18.445121951219512,13
234,38574,18.433243184947983,13
